,Number of people who will provide maintenance,Loan History,Purpose of taking loan,loan amount taken,Guarantor or Debtor,Number of years of employment,Marital Status,Number of loans taken from current bank,Age of the applicant in Number of Years,amount in current account,amount in savings account,% of income paid as installment,Other loans plans taken,Working abroad or not,Is there telephone number available,time duration for loan,Owned property,Type of job performed,Type of Housing,Number of years of stay in current address,Loan Defaulted or not,1=defaulted
10,1,existing loans paid back duly till now,Purchase of radio/television,1533,none,less than a year,female and divorced/seperated/married,1,38,no current account,less than 100,4,stores,Yes,Yes,24,car or other property,skilled employee / official,own,3,1,
11,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1231,none,,female and divorced/seperated/married,2,57,less than 0,greater than 1000,4,none,Yes,Yes,24,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,rent,4,1,
12,1,existing loans paid back duly till now,Purchase of radio/television,804,none,,male and single,1,38,no current account,less than 100,4,none,Yes,No,12,car or other property,skilled employee / official,own,4,1,
13,1,all loans at this bank paid back duly,Old Car Repair,3632,gaurantor,between 1 and 4 years,female and divorced/seperated/married,1,22,less than 0,less than 100,1,bank,No,No,24,car or other property,skilled employee / official,rent,4,1,
14,1,existing loans paid back duly till now,Purchase of furniture/equipment,1543,none,between 1 and 4 years,male and divorced/seperated,1,33,no current account,greater than 1000,4,none,Yes,No,6,Real Estate,skilled employee / official,own,2,1,
15,1,delay in paying off loans in the past,Purchase of radio/television,4454,none,between 1 and 4 years,female and divorced/seperated/married,2,34,no current account,less than 100,4,none,Yes,No,36,Real Estate,skilled employee / official,own,4,1,
16,1,existing loans paid back duly till now,New Car Purchase,1549,none,less than a year,male and single,1,35,between 0 and 200,no savings account,4,none,Yes,No,9,Real Estate,unemployed/ unskilled - non-resident,own,2,1,
17,1,delay in paying off loans in the past,Purchase of radio/television,683,none,less than a year,female and divorced/seperated/married,1,29,greater than 200,less than 100,2,bank,Yes,No,6,building society savings agreement/life insurance,skilled employee / official,own,1,1,
18,1,existing loans paid back duly till now,Purchase of radio/television,2671,co-applicant,between 1 and 4 years,female and divorced/seperated/married,1,50,between 0 and 200,between 100 and 500,4,none,Yes,No,36,No property,skilled employee / official,for free,4,2,
19,1,existing loans paid back duly till now,New Car Purchase,685,none,greater than 4 years,male and married/widowed,1,25,between 0 and 200,less than 100,2,bank,Yes,No,12,car or other property,unskilled - resident,own,3,2,
20,1,existing loans paid back duly till now,Purchase of radio/television,1377,none,,female and divorced/seperated/married,1,47,greater than 200,between 100 and 500,4,none,Yes,Yes,24,No property,skilled employee / official,for free,2,1,
21,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,8386,none,greater than 4 years,male and single,1,49,between 0 and 200,less than 100,2,none,Yes,No,30,building society savings agreement/life insurance,skilled employee / official,own,2,2,
22,1,existing loans paid back duly till now,Purchase of radio/television,3105,none,less than a year,male and single,2,25,no current account,no savings account,4,none,Yes,No,24,car or other property,skilled employee / official,own,2,1,
23,1,existing loans paid back duly till now,Old Car Repair,8335,none,,male and single,1,47,less than 0,no savings account,3,none,Yes,No,36,No property,skilled employee / official,for free,4,2,
24,1,existing loans paid back duly till now,Purchase of furniture/equipment,1766,none,between 1 and 4 years,male and married/widowed,1,21,no current account,less than 100,1,none,Yes,No,6,building society savings agreement/life insurance,skilled employee / official,rent,2,1,
25,2,delay in paying off loans in the past,Other repairs,1555,none,,male and single,2,55,no current account,greater than 1000,4,none,Yes,No,12,No property,skilled employee / official,for free,4,2,
26,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1098,none,unemployed,female and divorced/seperated/married,2,65,no current account,less than 100,4,none,Yes,No,18,car or other property,unemployed/ unskilled - non-resident,own,4,1,
27,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1316,none,between 1 and 4 years,male and married/widowed,2,47,no current account,between 500 and 1000,2,none,Yes,No,15,building society savings agreement/life insurance,unskilled - resident,own,2,1,
28,2,all loans at this bank paid back duly,Old Car Repair,5129,none,,female and divorced/seperated/married,1,74,between 0 and 200,less than 100,2,bank,Yes,Yes,9,No property,management/ self-employed/highly qualified employee/ officer,for free,4,2,
29,1,existing loans paid back duly till now,Purchase of furniture/equipment,2462,none,between 1 and 4 years,male and single,1,22,less than 0,less than 100,2,none,Yes,No,18,car or other property,skilled employee / official,own,2,2,
30,1,existing loans paid back duly till now,Purchase of radio/television,1505,none,between 1 and 4 years,male and single,1,32,no current account,less than 100,4,none,Yes,Yes,18,No property,management/ self-employed/highly qualified employee/ officer,for free,2,1,
31,1,existing loans paid back duly till now,Purchase of radio/television,1680,none,,male and married/widowed,1,35,less than 0,between 500 and 1000,3,none,Yes,No,12,Real Estate,skilled employee / official,own,1,1,
32,1,existing loans paid back duly till now,Purchase of radio/television,3595,none,,male and single,1,28,no current account,less than 100,4,none,Yes,No,36,car or other property,skilled employee / official,own,2,1,
33,2,existing loans paid back duly till now,New Car Purchase,3949,gaurantor,less than a year,male and single,1,37,greater than 200,less than 100,1,none,Yes,No,10,building society savings agreement/life insurance,unskilled - resident,own,1,1,
34,1,existing loans paid back duly till now,Purchase of radio/television,1364,none,greater than 4 years,male and single,1,59,less than 0,less than 100,3,none,Yes,No,9,Real Estate,skilled employee / official,own,4,1,
35,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,1935,none,,male and single,3,43,no current account,less than 100,4,none,Yes,Yes,12,Real Estate,skilled employee / official,own,4,1,
36,1,critical account/other loans existing (not at this bank),New Car Purchase,609,none,greater than 4 years,female and divorced/seperated/married,2,37,less than 0,less than 100,4,none,No,No,6,building society savings agreement/life insurance,skilled employee / official,own,3,1,
37,1,existing loans paid back duly till now,Old Car Repair,2910,none,greater than 4 years,male and single,1,34,less than 0,less than 100,2,none,Yes,Yes,24,No property,management/ self-employed/highly qualified employee/ officer,for free,1,1,
38,1,existing loans paid back duly till now,Purchase of furniture/equipment,1388,none,between 1 and 4 years,female and divorced/seperated/married,1,26,no current account,less than 100,4,none,Yes,No,9,Real Estate,skilled employee / official,rent,2,1,
39,2,all loans at this bank paid back duly,Education Loan,433,none,less than a year,female and divorced/seperated/married,1,24,between 0 and 200,greater than 1000,4,bank,Yes,No,6,building society savings agreement/life insurance,skilled employee / official,rent,2,2,
40,1,existing loans paid back duly till now,New Car Purchase,1228,none,between 1 and 4 years,female and divorced/seperated/married,1,24,less than 0,less than 100,4,none,Yes,No,12,Real Estate,unskilled - resident,own,2,2,
41,1,delay in paying off loans in the past,Loan for business establishment,6836,none,,male and single,2,63,less than 0,less than 100,3,none,Yes,Yes,60,No property,skilled employee / official,own,4,2,
42,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,5801,none,,male and single,1,49,no current account,no savings account,2,none,Yes,Yes,12,building society savings agreement/life insurance,skilled employee / official,rent,4,1,
43,1,existing loans paid back duly till now,Loan for business establishment,907,none,less than a year,male and married/widowed,1,26,between 0 and 200,less than 100,3,none,Yes,Yes,8,Real Estate,skilled employee / official,own,2,1,
44,2,existing loans paid back duly till now,Purchase of furniture/equipment,3590,co-applicant,between 1 and 4 years,male and single,1,29,less than 0,less than 100,2,none,Yes,No,12,building society savings agreement/life insurance,unskilled - resident,own,2,1,
45,1,existing loans paid back duly till now,Education Loan,795,none,less than a year,female and divorced/seperated/married,1,53,less than 0,less than 100,4,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,4,2,
46,1,delay in paying off loans in the past,,7582,none,unemployed,male and single,1,31,between 0 and 200,between 100 and 500,2,none,Yes,Yes,48,No property,management/ self-employed/highly qualified employee/ officer,for free,4,1,
47,1,all loans at this bank paid back duly,Old Car Repair,7485,none,unemployed,female and divorced/seperated/married,1,53,no current account,no savings account,4,bank,Yes,Yes,30,Real Estate,management/ self-employed/highly qualified employee/ officer,own,1,2,
48,1,existing loans paid back duly till now,Purchase of furniture/equipment,1474,none,less than a year,female and divorced/seperated/married,1,33,greater than 200,less than 100,4,bank,Yes,Yes,12,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,1,1,
49,1,existing loans paid back duly till now,Purchase of radio/television,2930,none,greater than 4 years,female and divorced/seperated/married,1,27,between 0 and 200,less than 100,2,none,Yes,No,12,Real Estate,skilled employee / official,own,1,1,
50,1,existing loans paid back duly till now,Other repairs,3872,none,unemployed,female and divorced/seperated/married,1,67,between 0 and 200,less than 100,2,none,Yes,Yes,18,car or other property,skilled employee / official,own,4,1,
51,1,critical account/other loans existing (not at this bank),Purchase of radio/television,3656,none,,male and single,2,49,greater than 200,no savings account,4,stores,Yes,No,30,building society savings agreement/life insurance,unskilled - resident,own,4,1,
52,1,critical account/other loans existing (not at this bank),Old Car Repair,4576,none,unemployed,male and single,1,27,between 0 and 200,between 100 and 500,3,none,Yes,No,45,car or other property,skilled employee / official,own,4,1,
53,1,delay in paying off loans in the past,Purchase of furniture/equipment,1050,none,unemployed,male and single,2,35,between 0 and 200,less than 100,4,stores,Yes,Yes,6,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,1,1,
54,1,existing loans paid back duly till now,Purchase of radio/television,1376,none,greater than 4 years,female and divorced/seperated/married,1,28,no current account,between 500 and 1000,4,none,Yes,No,24,car or other property,skilled employee / official,own,1,1,
55,1,existing loans paid back duly till now,New Car Purchase,1372,none,greater than 4 years,male and divorced/seperated,1,36,less than 0,less than 100,2,none,Yes,No,12,car or other property,skilled employee / official,own,3,2,
56,1,existing loans paid back duly till now,New Car Purchase,1287,co-applicant,,male and single,1,45,no current account,no savings account,4,none,No,No,10,building society savings agreement/life insurance,unskilled - resident,own,2,1,
57,1,existing loans paid back duly till now,Purchase of radio/television,5943,none,less than a year,female and divorced/seperated/married,2,44,no current account,no savings account,1,none,Yes,Yes,24,car or other property,skilled employee / official,own,1,2,
58,1,existing loans paid back duly till now,Purchase of furniture/equipment,3108,none,less than a year,male and divorced/seperated,1,31,less than 0,less than 100,2,none,Yes,No,30,building society savings agreement/life insurance,unskilled - resident,own,4,2,
59,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,1049,none,less than a year,female and divorced/seperated/married,1,21,less than 0,less than 100,4,none,Yes,No,18,building society savings agreement/life insurance,skilled employee / official,rent,4,1,
60,1,existing loans paid back duly till now,New Car Purchase,7472,none,unemployed,female and divorced/seperated/married,1,24,between 0 and 200,no savings account,1,none,Yes,No,12,Real Estate,unemployed/ unskilled - non-resident,rent,2,1,
61,2,critical account/other loans existing (not at this bank),Purchase of radio/television,1216,none,less than a year,male and single,2,38,between 0 and 200,between 100 and 500,4,bank,Yes,No,24,No property,skilled employee / official,own,4,2,
62,1,critical account/other loans existing (not at this bank),Old Car Repair,2957,none,,male and single,2,63,less than 0,less than 100,4,none,Yes,Yes,24,building society savings agreement/life insurance,skilled employee / official,own,4,1,
63,1,existing loans paid back duly till now,Purchase of furniture/equipment,3049,none,less than a year,female and divorced/seperated/married,1,45,greater than 200,less than 100,1,stores,Yes,No,18,building society savings agreement/life insurance,unskilled - resident,own,1,1,
64,1,existing loans paid back duly till now,Purchase of radio/television,3190,none,between 1 and 4 years,female and divorced/seperated/married,1,24,less than 0,less than 100,2,none,Yes,No,18,Real Estate,skilled employee / official,own,2,2,
65,2,critical account/other loans existing (not at this bank),New Car Purchase,3939,none,between 1 and 4 years,male and single,2,40,less than 0,less than 100,1,none,Yes,No,11,Real Estate,unskilled - resident,own,2,1,
66,1,no loans taken/all loans paid back duly,New Car Purchase,1082,none,between 1 and 4 years,male and single,2,48,less than 0,less than 100,4,bank,Yes,No,12,car or other property,skilled employee / official,own,4,2,
67,2,existing loans paid back duly till now,New Car Purchase,2579,none,less than a year,male and single,1,33,less than 0,less than 100,4,none,Yes,No,12,Real Estate,unskilled - resident,own,1,2,
68,1,existing loans paid back duly till now,Purchase of radio/television,1924,none,between 1 and 4 years,male and single,1,38,no current account,less than 100,1,none,No,Yes,10,building society savings agreement/life insurance,skilled employee / official,own,4,1,
69,1,critical account/other loans existing (not at this bank),New Car Purchase,3485,none,less than a year,male and divorced/seperated,2,44,no current account,no savings account,2,none,Yes,Yes,20,Real Estate,skilled employee / official,own,4,1,
70,1,existing loans paid back duly till now,New Car Purchase,3959,none,between 1 and 4 years,female and divorced/seperated/married,1,29,less than 0,less than 100,3,none,Yes,Yes,15,building society savings agreement/life insurance,skilled employee / official,own,2,2,
71,1,existing loans paid back duly till now,Other repairs,1308,none,,male and single,2,38,between 0 and 200,less than 100,4,none,Yes,No,15,car or other property,unskilled - resident,own,4,1,
72,1,existing loans paid back duly till now,Purchase of furniture/equipment,2241,none,,male and single,2,50,no current account,less than 100,4,none,Yes,No,21,Real Estate,skilled employee / official,own,2,1,
73,1,critical account/other loans existing (not at this bank),Purchase of radio/television,3017,none,,male and single,1,47,greater than 200,less than 100,4,none,Yes,No,30,building society savings agreement/life insurance,skilled employee / official,own,4,1,
74,1,existing loans paid back duly till now,Purchase of radio/television,1082,none,,male and single,2,27,between 0 and 200,less than 100,4,none,Yes,No,9,car or other property,unskilled - resident,own,4,1,
75,1,delay in paying off loans in the past,New Car Purchase,1209,none,unemployed,male and single,1,47,between 0 and 200,less than 100,4,none,Yes,Yes,6,building society savings agreement/life insurance,management/ self-employed/highly qualified employee/ officer,own,4,2,
76,2,all loans at this bank paid back duly,Purchase of radio/television,1569,none,,male and single,1,34,no current account,between 100 and 500,4,bank,Yes,No,15,car or other property,unskilled - resident,own,4,1,
77,1,existing loans paid back duly till now,New Car Purchase,1203,none,,male and single,1,43,less than 0,between 100 and 500,3,none,Yes,Yes,6,building society savings agreement/life insurance,skilled employee / official,own,2,1,
78,1,existing loans paid back duly till now,New Car Purchase,276,none,between 1 and 4 years,male and married/widowed,1,22,between 0 and 200,less than 100,4,none,Yes,No,9,Real Estate,unskilled - resident,rent,4,1,
79,1,existing loans paid back duly till now,New Car Purchase,1422,none,less than a year,male and single,1,27,less than 0,less than 100,3,none,Yes,Yes,9,No property,management/ self-employed/highly qualified employee/ officer,for free,2,2,
80,1,critical account/other loans existing (not at this bank),Old Car Repair,3229,none,unemployed,male and single,1,38,no current account,no savings account,2,none,Yes,Yes,18,No property,management/ self-employed/highly qualified employee/ officer,own,4,1,
81,1,existing loans paid back duly till now,Loan for retraining,754,none,,male and single,2,38,between 0 and 200,no savings account,4,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,4,1,
82,1,critical account/other loans existing (not at this bank),Purchase of radio/television,6070,none,,male and single,2,33,no current account,less than 100,3,none,Yes,Yes,18,car or other property,skilled employee / official,own,4,1,
83,1,critical account/other loans existing (not at this bank),Education Loan,1927,none,between 1 and 4 years,female and divorced/seperated/married,2,33,no current account,no savings account,3,none,Yes,Yes,24,car or other property,skilled employee / official,own,2,1,
84,2,delay in paying off loans in the past,Other repairs,6204,none,between 1 and 4 years,male and single,1,44,between 0 and 200,less than 100,2,none,Yes,Yes,18,Real Estate,unskilled - resident,own,4,1,
85,1,all loans at this bank paid back duly,Purchase of domestic appliances,3990,none,less than a year,female and divorced/seperated/married,1,29,between 0 and 200,no savings account,3,bank,Yes,No,36,No property,unemployed/ unskilled - non-resident,own,2,1,
86,1,existing loans paid back duly till now,Purchase of radio/television,625,gaurantor,less than a year,male and married/widowed,1,26,between 0 and 200,less than 100,4,bank,Yes,No,12,Real Estate,unskilled - resident,own,1,1,
87,1,critical account/other loans existing (not at this bank),Purchase of domestic appliances,1424,none,greater than 4 years,male and single,1,26,between 0 and 200,less than 100,4,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,3,1,
88,1,critical account/other loans existing (not at this bank),Purchase of radio/television,2337,none,,male and single,1,36,between 0 and 200,less than 100,4,none,Yes,No,36,Real Estate,skilled employee / official,own,4,1,
89,1,existing loans paid back duly till now,Purchase of radio/television,1845,none,between 1 and 4 years,male and single,1,23,less than 0,less than 100,4,none,Yes,Yes,45,No property,skilled employee / official,for free,4,2,
90,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,1433,none,between 1 and 4 years,female and divorced/seperated/married,2,25,less than 0,less than 100,4,none,Yes,No,15,building society savings agreement/life insurance,skilled employee / official,rent,3,1,
91,1,no loans taken/all loans paid back duly,New Car Purchase,1204,none,between 1 and 4 years,male and single,1,35,no current account,between 100 and 500,4,bank,No,No,6,No property,skilled employee / official,rent,1,1,
92,1,critical account/other loans existing (not at this bank),Loan for business establishment,4526,none,between 1 and 4 years,male and single,1,74,no current account,less than 100,3,none,Yes,Yes,24,Real Estate,management/ self-employed/highly qualified employee/ officer,own,2,1,
93,1,existing loans paid back duly till now,Purchase of radio/television,2333,none,,male and single,1,30,no current account,between 500 and 1000,4,bank,Yes,No,30,car or other property,management/ self-employed/highly qualified employee/ officer,own,2,1,
94,1,critical account/other loans existing (not at this bank),Purchase of radio/television,1655,none,,male and single,2,63,no current account,less than 100,2,none,Yes,Yes,12,Real Estate,unskilled - resident,own,4,1,
95,1,delay in paying off loans in the past,Purchase of furniture/equipment,7678,none,greater than 4 years,female and divorced/seperated/married,2,40,no current account,between 500 and 1000,2,none,Yes,Yes,36,car or other property,skilled employee / official,own,4,1,
96,2,delay in paying off loans in the past,Purchase of radio/television,4370,none,greater than 4 years,male and single,2,26,less than 0,less than 100,3,bank,Yes,Yes,42,building society savings agreement/life insurance,skilled employee / official,own,2,2,
97,1,existing loans paid back duly till now,New Car Purchase,9271,none,greater than 4 years,male and single,1,24,less than 0,less than 100,2,none,Yes,Yes,36,car or other property,skilled employee / official,own,1,2,
98,2,critical account/other loans existing (not at this bank),Purchase of radio/television,3077,none,,male and single,2,40,no current account,no savings account,3,none,Yes,Yes,30,car or other property,skilled employee / official,own,2,1,
99,1,existing loans paid back duly till now,Purchase of radio/television,1155,gaurantor,,male and married/widowed,2,40,between 0 and 200,less than 100,3,bank,Yes,No,12,Real Estate,unskilled - resident,own,3,1,
100,1,existing loans paid back duly till now,Purchase of furniture/equipment,2136,none,between 1 and 4 years,male and single,1,25,less than 0,less than 100,3,none,Yes,No,9,Real Estate,skilled employee / official,own,2,1,
101,1,existing loans paid back duly till now,Purchase of radio/television,790,none,between 1 and 4 years,female and divorced/seperated/married,1,66,between 0 and 200,between 500 and 1000,4,none,Yes,No,9,Real Estate,unskilled - resident,own,3,1,
102,2,existing loans paid back duly till now,New Car Purchase,3249,none,greater than 4 years,male and single,1,39,less than 0,less than 100,2,bank,Yes,Yes,36,No property,management/ self-employed/highly qualified employee/ officer,for free,4,1,
103,1,delay in paying off loans in the past,Loan for business establishment,2145,none,greater than 4 years,male and single,2,24,less than 0,less than 100,2,none,Yes,Yes,36,car or other property,skilled employee / official,own,1,2,
104,1,critical account/other loans existing (not at this bank),Purchase of radio/television,5103,none,less than a year,male and married/widowed,3,47,no current account,less than 100,3,none,Yes,Yes,24,No property,skilled employee / official,for free,3,1,
105,2,all loans at this bank paid back duly,New Car Purchase,6458,none,,male and single,2,39,no current account,less than 100,2,bank,Yes,Yes,18,No property,management/ self-employed/highly qualified employee/ officer,own,4,2,
106,1,existing loans paid back duly till now,Loan for business establishment,1410,none,,male and married/widowed,1,35,between 0 and 200,between 500 and 1000,1,none,Yes,Yes,14,Real Estate,skilled employee / official,own,2,1,
107,1,critical account/other loans existing (not at this bank),Purchase of furniture/equipment,2246,none,,male and single,2,60,less than 0,less than 100,3,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,3,2,
108,1,all loans at this bank paid back duly,Purchase of radio/television,626,none,between 1 and 4 years,female and divorced/seperated/married,1,24,less than 0,less than 100,4,bank,Yes,No,12,Real Estate,unskilled - resident,own,4,2,
109,1,all loans at this bank paid back duly,New Car Purchase,12169,co-applicant,unemployed,male and single,1,36,between 0 and 200,no savings account,4,none,Yes,Yes,48,No property,management/ self-employed/highly qualified employee/ officer,for free,4,1,
110,1,existing loans paid back duly till now,Purchase of radio/television,4594,none,less than a year,male and single,1,32,no current account,less than 100,3,none,Yes,Yes,18,car or other property,skilled employee / official,own,2,1,
111,1,all loans at this bank paid back duly,New Car Purchase,1437,none,greater than 4 years,male and single,1,29,between 0 and 200,between 100 and 500,2,none,Yes,No,9,No property,skilled employee / official,own,3,2,
112,1,critical account/other loans existing (not at this bank),Education Loan,2012,none,greater than 4 years,female and divorced/seperated/married,1,61,no current account,no savings account,4,none,Yes,No,12,car or other property,skilled employee / official,own,2,1,
113,1,existing loans paid back duly till now,Purchase of radio/television,2101,gaurantor,less than a year,female and divorced/seperated/married,1,23,between 0 and 200,less than 100,2,none,Yes,No,13,building society savings agreement/life insurance,unskilled - resident,own,4,1,
114,1,existing loans paid back duly till now,Purchase of furniture/equipment,2978,none,between 1 and 4 years,male and single,1,32,no current account,between 500 and 1000,1,none,Yes,Yes,6,car or other property,skilled employee / official,own,2,1,
115,1,delay in paying off loans in the past,Purchase of radio/television,9157,none,between 1 and 4 years,male and single,1,27,between 0 and 200,no savings account,2,none,Yes,No,60,No property,management/ self-employed/highly qualified employee/ officer,for free,2,1,
116,1,existing loans paid back duly till now,Purchase of radio/television,3060,none,greater than 4 years,male and single,2,28,between 0 and 200,less than 100,4,none,Yes,No,48,Real Estate,skilled employee / official,own,4,2,
117,1,delay in paying off loans in the past,Education Loan,6887,none,between 1 and 4 years,male and single,1,29,less than 0,less than 100,4,stores,Yes,Yes,36,building society savings agreement/life insurance,skilled employee / official,own,3,2,
118,2,critical account/other loans existing (not at this bank),New Car Purchase,1299,none,between 1 and 4 years,male and single,3,74,greater than 200,less than 100,1,none,No,No,6,Real Estate,unemployed/ unskilled - non-resident,own,1,1,
119,1,no loans taken/all loans paid back duly,Purchase of furniture/equipment,2759,none,,male and single,2,34,no current account,less than 100,2,none,Yes,No,12,building society savings agreement/life insurance,skilled employee / official,own,4,1,
120,1,existing loans paid back duly till now,New Car Purchase,1842,none,less than a year,female and divorced/seperated/married,1,34,less than 0,less than 100,4,none,Yes,Yes,36,car or other property,skilled employee / official,own,4,2,
121,1,critical account/other loans existing (not at this bank),Purchase of radio/television,3578,none,,male and single,1,47,no current account,no savings account,4,none,Yes,Yes,48,Real Estate,skilled employee / official,own,1,1,
122,1,existing loans paid back duly till now,Purchase of radio/television,1206,none,,female and divorced/seperated/married,1,25,between 0 and 200,less than 100,4,none,Yes,No,9,Real Estate,skilled employee / official,own,4,1,
123,1,critical account/other loans existing (not at this bank),Other repairs,3394,co-applicant,unemployed,male and single,2,65,less than 0,less than 100,4,none,Yes,No,42,car or other property,unemployed/ unskilled - non-resident,own,4,1,
124,2,existing loans paid back duly till now,Purchase of radio/television,1068,none,,male and single,1,28,between 0 and 200,less than 100,4,none,Yes,No,6,car or other property,skilled employee / official,own,4,1,
125,2,critical account/other loans existing (not at this bank),Other repairs,1288,gaurantor,,male and single,2,48,less than 0,between 100 and 500,3,none,No,No,9,Real Estate,skilled employee / official,own,4,1,
126,1,existing loans paid back duly till now,Education Loan,727,none,,male and single,1,46,no current account,between 500 and 1000,4,none,Yes,Yes,10,No property,skilled employee / official,for free,4,1,
127,1,existing loans paid back duly till now,Purchase of furniture/equipment,1657,none,between 1 and 4 years,male and single,1,27,less than 0,less than 100,2,none,Yes,No,12,Real Estate,skilled employee / official,own,2,1,
128,1,critical account/other loans existing (not at this bank),New Car Purchase,5045,none,,female and divorced/seperated/married,1,59,no current account,no savings account,1,none,Yes,Yes,15,car or other property,skilled employee / official,own,4,1,
129,1,existing loans paid back duly till now,Loan for business establishment,1542,none,greater than 4 years,male and single,1,36,no current account,less than 100,2,none,Yes,Yes,12,car or other property,skilled employee / official,own,4,1,
130,1,existing loans paid back duly till now,,11328,co-applicant,between 1 and 4 years,male and single,2,29,between 0 and 200,less than 100,2,bank,Yes,Yes,24,car or other property,management/ self-employed/highly qualified employee/ officer,own,3,2,
131,1,delay in paying off loans in the past,New Car Purchase,1965,none,between 1 and 4 years,female and divorced/seperated/married,2,42,between 0 and 200,no savings account,4,none,Yes,Yes,24,car or other property,skilled employee / official,rent,4,1,
132,1,existing loans paid back duly till now,New Car Purchase,3757,co-applicant,,female and divorced/seperated/married,1,62,no current account,less than 100,4,none,Yes,Yes,24,No property,skilled employee / official,for free,4,1,
133,1,critical account/other loans existing (not at this bank),Loan for business establishment,6304,none,,male and single,2,36,no current account,no savings account,4,none,Yes,No,36,Real Estate,skilled employee / official,own,4,1,
134,1,existing loans paid back duly till now,Education Loan,1819,none,between 1 and 4 years,male and single,1,37,no current account,less than 100,4,stores,Yes,Yes,36,No property,skilled employee / official,for free,4,2,
135,1,existing loans paid back duly till now,Purchase of radio/television,3357,none,less than a year,female and divorced/seperated/married,1,29,less than 0,greater than 1000,4,bank,Yes,No,21,car or other property,skilled employee / official,own,2,1,
136,1,critical account/other loans existing (not at this bank),Purchase of radio/television,338,none,,male and single,2,52,less than 0,between 500 and 1000,4,none,Yes,No,6,car or other property,skilled employee / official,own,4,1,
137,1,existing loans paid back duly till now,Education Loan,1538,none,less than a year,female and divorced/seperated/married,1,56,no current account,less than 100,1,none,Yes,No,6,No property,skilled employee / official,own,2,1,
138,1,existing loans paid back duly till now,Purchase of radio/television,3213,none,less than a year,male and married/widowed,1,25,between 0 and 200,between 500 and 1000,1,none,Yes,No,18,Real Estate,skilled employee / official,rent,3,1,
139,1,delay in paying off loans in the past,Education Loan,3414,none,less than a year,male and single,2,26,less than 0,less than 100,2,none,Yes,No,21,building society savings agreement/life insurance,skilled employee / official,own,1,2,
140,1,critical account/other loans existing (not at this bank),New Car Purchase,2080,none,between 1 and 4 years,male and married/widowed,1,24,no current account,between 500 and 1000,1,none,Yes,No,6,car or other property,skilled employee / official,own,2,1,
